,level_0,Unnamed: 0,index,Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors
23,23,23,24,Blockchain.com,14000000000.0,17-02-2021,Fintech,London,United Kingdom,Europe,2011,490000000,"Lightspeed Venture Partners, Google Ventures, Lakestar"
24,24,24,25,Plaid,13000000000.0,11-12-2018,Fintech,San Francisco,United States,North America,2012,734000000,"New Enterprise Associates, Spar Capital, Index Ventures"
25,25,25,26,Devoted Health,13000000000.0,16-10-2018,Health,Waltham,United States,North America,2017,2000000000,"Andreessen Horowitz, F-Prime Capital, Venrock"
26,26,26,27,OpenSea,13000000000.0,20-07-2021,E-commerce & direct-to-consumer,New York,United States,North America,2017,427000000,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures"
27,27,27,28,Grammarly,13000000000.0,10-10-2019,Internet software & services,San Francisco,United States,North America,2009,400000000,"General Catalyst, Institutional Venture Partners, Breyer Capital"
28,28,28,29,Argo AI,12000000000.0,12-07-2019,Artificial intelligence,Pittsburgh,United States,North America,2016,4000000000,"Volkswagen Group, Ford Autonomous Vehicles"
29,29,29,30,Northvolt,12000000000.0,12-06-2019,Other,Stockholm,Sweden,Europe,2016,4000000000,"Vattenfall, Volkswagen Group, Goldman Sachs"
30,30,30,31,Faire,12000000000.0,30-10-2019,Artificial intelligence,San Francisco,United States,North America,2017,1000000000,"Khosla Ventures, Forerunner Ventures, Sequoia Capital"
31,31,31,32,Airtable,12000000000.0,15-11-2018,Internet software & services,San Francisco,United States,North America,2013,1000000000,"Caffeinated Capital, CRV, Founder Collective"
32,32,32,33,Brex,12000000000.0,05-10-2018,Fintech,San Francisco,United States,North America,2017,1000000000,"DST Global, Ribbit Capital, Greenoaks Capital Management"
33,33,33,34,Getir,12000000000.0,26-03-2021,E-commerce & direct-to-consumer,Istanbul,Turkey,Europe,2015,2000000000,"Tiger Global Management, Sequoia Capital, Revo Capital"
34,34,34,35,Biosplice Therapeutics,12000000000.0,06-08-2018,Health,San Diego,United States,North America,2008,799000000,"Vickers Venture Partners, IKEA GreenTech"
35,35,35,36,Bitmain,12000000000.0,06-07-2018,Hardware,Beijing,China,Asia,2015,765000000,"Coatue Management, Sequoia Capital China, IDG Capital"
36,36,36,37,GoodLeap,12000000000.0,13-10-2021,Internet software & services,Roseville,United States,North America,2003,800000000,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management"
37,37,37,38,Xingsheng Selected,12000000000.0,22-07-2020,E-commerce & direct-to-consumer,Changsha,China,Asia,2009,5000000000,"KKR, Tencent Holdings, Sequoia Capital China"
38,38,38,39,ZongMu Technology,11000000000.0,03-06-2021,Auto & transportation,Shanghai,China,Asia,2013,376000000,"LTW Capital, Legend Capital, Qualcomm Ventures"
39,39,39,40,Bolt,11000000000.0,29-05-2018,Auto & transportation,Tallinn,Estonia,Europe,2013,1000000000,"Didi Chuxing, Diamler, TMT Investments"
40,40,40,41,Swiggy,11000000000.0,21-06-2018,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2014,5000000000,"Accel India, SAIF Partners, Norwest Venture Partners"
41,41,41,42,Weilong Foods,11000000000.0,08-05-2021,Consumer & retail,Luohe,China,Asia,1999,558000000,"Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital"
42,42,42,43,Global Switch,11000000000.0,22-12-2016,Hardware,London,United Kingdom,Europe,1998,5000000000,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group"
43,43,43,44,Bolt,11000000000.0,08-10-2021,Fintech,San Francisco,United States,North America,2014,1000000000,"Activant Capital, Tribe Capital, General Atlantic"
44,44,44,45,Celonis,11000000000.0,26-06-2018,Data management & analytics,Munich,Germany,Europe,2011,1000000000,"Accel, 83North"
45,45,45,46,Zuoyebang,10000000000.0,18-07-2018,Edtech,Beijing,China,Asia,2014,3000000000,"Sequoia Capital China, Xiang He Capital, GGV Capital"
46,46,46,47,Ripple,10000000000.0,20-12-2019,Fintech,San Francisco,United States,North America,2012,294000000,"IDG Capital, Venture51, Lightspeed Venture Partners"
47,47,47,48,OYO Rooms,10000000000.0,25-09-2018,Travel,Gurugram,India,Asia,2012,3000000000,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners"
48,48,48,49,OutSystems,10000000000.0,05-06-2018,Internet software & services,Boston,United States,North America,2001,572000000,"KKR, ES Ventures, North Bridge Growth Equity"
49,49,49,50,ServiceTitan,10000000000.0,14-11-2018,Internet software & services,Glendale,United States,North America,2012,1000000000,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures"
50,50,50,51,Alchemy,10000000000.0,28-10-2021,Fintech,San Francisco,United States,North America,2017,564000000,"DFJ Growth Fund, Coatue Management, Addition"
51,51,51,52,Chehaoduo,10000000000.0,12-03-2016,E-commerce & direct-to-consumer,Beijing,China,Asia,2015,4000000000,"Sequoia Capital China, GX Capital"
52,52,52,53,Digital Currency Group,10000000000.0,01-11-2021,Fintech,New York,United States,North America,2015,1000000000,"Ribbit Capital, capitalG, Softbank Group"
53,53,53,54,Figma,10000000000.0,30-04-2020,Internet software & services,San Francisco,United States,North America,2012,333000000,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers"
54,54,54,55,Gusto,10000000000.0,18-12-2015,Fintech,San Francisco,United States,North America,2011,691000000,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers"
55,55,55,56,Lalamove,10000000000.0,21-02-2019,"Supply chain, logistics, & delivery",Cheung Sha Wan,Hong Kong,Asia,2013,2000000000,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital"
56,56,56,57,Notion Labs,10000000000.0,01-04-2020,Internet software & services,San Francisco,United States,North America,2016,343000000,"Index Ventures, Draft Ventures, Felicis Ventures"
57,57,57,58,reddit,10000000000.0,31-07-2017,Internet software & services,San Francisco,United States,North America,2005,1000000000,"Y Combinator, Sequoia Capital, Coatue Management"
58,58,58,59,Talkdesk,10000000000.0,03-10-2018,Internet software & services,San Francisco,United States,North America,2011,497000000,"DJF, Salesforce Ventures, Storm Ventures"
59,59,59,60,Thrasio,10000000000.0,15-07-2020,Other,Walpole,United States,North America,2018,2000000000,"Upper90, RiverPark Ventures, Advent International"
60,60,60,61,Dunamu,9000000000.0,22-07-2021,Fintech,Seoul,South Korea,Asia,2012,71000000,"Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities"
61,61,61,62,Yanolja,9000000000.0,10-06-2019,Travel,Seoul,South Korea,Asia,2005,2000000000,"SBI Investment Korea, Partners Investment, GIC"
62,62,62,63,Pony.ai,9000000000.0,11-07-2018,Artificial intelligence,Fremont,United States,North America,2016,1000000000,"Sequoia Capital China, IDG Capital, DCM Ventures"
63,63,63,64,Nuro,9000000000.0,11-02-2019,Auto & transportation,Mountain View,United States,North America,2016,2000000000,"SoftBank Group, Greylock Partners, Gaorong Capital"
64,64,64,65,Snyk,9000000000.0,21-01-2020,Cybersecurity,Boston,United States,North America,2015,1000000000,"BOLDstart Ventures, Google Ventures, Accel"
65,65,65,66,Kavak,9000000000.0,01-10-2020,E-commerce & direct-to-consumer,Lerma de Villada,Mexico,North America,2016,2000000000,"DST Global, SoftBank Group, Mountain Nazca"
66,66,66,67,N26,9000000000.0,10-01-2019,Fintech,Berlin,Germany,Europe,2013,2000000000,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures"
67,67,67,68,Klaviyo,9000000000.0,17-11-2020,Internet software & services,Boston,United States,North America,2012,679000000,"Summit Partners, Accel, Astral Capital"
68,68,68,69,Niantic,9000000000.0,24-11-2017,Mobile & telecommunications,San Francisco,United States,North America,2015,770000000,"Nintendo, Google, Pokemon Company International, Spark Capital"
69,69,69,70,Tanium,9000000000.0,31-03-2015,Cybersecurity,Kirkland,United States,North America,2007,775000000,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth"
70,70,70,71,Dream11,8000000000.0,09-04-2019,Internet software & services,Mumbai,India,Asia,2007,2000000000,"Kaalari Capital, Tencent Holdings, Steadview Capital"
71,71,71,72,DJI Innovations,8000000000.0,23-01-2015,Hardware,Shenzhen,China,Asia,2006,105000000,"Accel Partners, Sequoia Capital"
72,72,72,73,Netskope,8000000000.0,13-11-2018,Cybersecurity,Santa Clara,United States,North America,2012,1000000000,"Lightspeed Venture Partners, Social Capital, Accel"
73,73,73,74,Razorpay,8000000000.0,11-10-2020,Fintech,Bengaluru,India,Asia,2013,742000000,"Sequoia Capital India, Tiger Global Management, Matrix Partners India"
74,74,74,75,Dapper Labs,8000000000.0,30-03-2021,Fintech,Vancouver,Canada,North America,2018,607000000,"Union Square Ventures, Venrock, Andreessen Horowitz"
75,75,75,76,Lacework,8000000000.0,07-01-2021,Cybersecurity,San Jose,United States,North America,2015,2000000000,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management"
76,76,76,77,Tipalti,8000000000.0,06-10-2020,Fintech,San Mateo,United States,North America,2010,549000000,"01 Advisors, Zeev Ventures, Group 11"
77,77,77,78,Hopin,8000000000.0,10-11-2020,Internet software & services,London,United Kingdom,Europe,2019,1000000000,"Accel, Northzone Ventures, Institutional Venture Partners"
78,78,78,79,Caris Life Sciences,8000000000.0,12-05-2021,Health,Irving,United States,North America,1996,1000000000,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management"
79,79,79,80,Ramp,8000000000.0,29-03-2021,Fintech,New York,United States,North America,2019,660000000,"D1 Capital Partners, Stripe, Coatue Management"
80,80,80,81,Tempus,8000000000.0,21-03-2018,Health,Chicago,United States,North America,2015,820000000,"New Enterprise Associates, T. Rowe Associates, Lightbank"
81,81,81,82,Fireblocks,8000000000.0,27-07-2021,Fintech,New York,United States,North America,2018,1000000000,"Tenaya Capital, Coatue Management, Stripes Group"
82,82,82,83,Flexport,8000000000.0,30-04-2018,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2013,2000000000,"Bloomberg Beta, Founders Fund, First Round Capital"
83,83,83,84,National Stock Exchange of India,7000000000.0,01-07-2020,Fintech,Mumbai,India,Asia,1998,297000000,"TA Associates, SoftBank Group, GS Growth"
84,84,84,85,Meicai,7000000000.0,22-06-2016,Mobile & telecommunications,Beijing,China,Asia,2014,1000000000,"Tiger Global Management, Blue Lake Capital, ZhenFund"
85,85,85,86,Impossible Foods,7000000000.0,13-05-2019,Consumer & retail,Redwood City,United States,North America,2011,2000000000,"Khosla Ventures, Horizons Ventures, Temasek Holdings"
86,86,86,87,CRED,7000000000.0,06-04-2021,Fintech,Bengaluru,India,Asia,2018,922000000,"Tiger Global Management, DST Global, Sequoia Capital India"
87,87,87,88,Attentive,7000000000.0,23-09-2020,Mobile & telecommunications,Hoboken,United States,North America,2016,863000000,"NextView Ventures, Eniac Ventures, Sequoia Capital"
88,88,88,89,Ola Cabs,7000000000.0,27-10-2014,Auto & transportation,Bengaluru,India,Asia,2010,4000000000,"Accel Partners, SoftBank Group, Sequoia Capital"
89,89,89,90,Rippling,7000000000.0,04-08-2020,Internet software & services,San Francisco,United States,North America,2017,447000000,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers"
90,90,90,91,Carta,7000000000.0,06-05-2019,Fintech,San Francisco,United States,North America,2012,1000000000,"Menlo Ventures, Spark Capital, Union Square Ventures"
91,91,91,92,Toss,7000000000.0,09-12-2018,Fintech,Seoul,South Korea,Asia,2013,844000000,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers"
92,92,92,93,Ziroom,7000000000.0,17-01-2018,E-commerce & direct-to-consumer,Beijing,China,Asia,2011,2000000000,"Sequoia Capital China, Warburg Pincus, General Catalyst"
93,93,93,94,Scale AI,7000000000.0,05-08-2019,Artificial intelligence,San Francisco,United States,North America,2018,603000000,"Accel, Y Combinator, Index Ventures"
94,94,94,95,Gong,7000000000.0,12-08-2020,Artificial intelligence,Palo Alto,United States,North America,2015,583000000,"Norwest Venture Partners, Next World Capital, Wing Venture Capital"
95,95,95,96,TripActions,7000000000.0,08-11-2018,Travel,Palo Alto,United States,North America,2015,912000000,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures"
96,96,96,97,1Password,7000000000.0,08-07-2021,Cybersecurity,Toronto,Canada,North America,2005,920000000,"Slack Fund, Accel, Skip Capital"
97,97,97,98,Automation Anywhere,7000000000.0,02-07-2018,Artificial intelligence,San Jose,United States,North America,2003,849000000,"General Atlantic, Goldman Sachs, New Enterprise Associates"
98,98,98,99,Gemini,7000000000.0,19-11-2021,Fintech,New York,United States,North America,2015,424000000,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund"
99,99,99,100,ConsenSys,7000000000.0,17-11-2021,Fintech,New York,United States,North America,2014,660000000,"Third Point, Electric Capital, Coinbase Ventures"
100,100,100,101,Ro,7000000000.0,27-07-2020,Health,New York,United States,North America,2017,1000000000,"Initialized Capital, General Catalyst, SignalFire"
101,101,101,102,Black Unicorn Factory,6000000000.0,20-05-2021,Other,Los Angeles,United States,North America,2020,645000000,Barter Ventures
102,102,102,103,Easyhome,6000000000.0,12-02-2018,Consumer & retail,Beijing,China,Asia,1999,2000000000,"Alibaba Group, Boyu Capital, Borui Capital"
103,103,103,104,WeDoctor,6000000000.0,22-09-2015,Health,Hangzhou,China,Asia,2010,1000000000,"Tencent, Morningside Group"
104,104,104,105,SVOLT,6000000000.0,08-06-2020,Auto & transportation,Changzhou,China,Asia,2018,3000000000,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management"
105,105,105,106,Airwallex,6000000000.0,25-03-2019,Fintech,Melbourne,Australia,Oceania,2015,802000000,"DST Global, Sequoia Capital China, Tencent Holdings"
106,106,106,107,Deel,6000000000.0,21-04-2021,Fintech,San Francisco,United States,North America,2018,629000000,"Andreessen Horowitz, Spark Capital, Y Combinator"
107,107,107,108,Mambu,6000000000.0,06-01-2021,Fintech,Amsterdam,Netherlands,Europe,2011,448000000,"Runa Capital, Acton Capital Partners, Point Nine Capital"
108,108,108,109,Mollie,6000000000.0,08-09-2020,Fintech,Amsterdam,Netherlands,Europe,2004,928000000,Technology Crossover Ventures
109,109,109,110,Doctolib,6000000000.0,19-03-2019,Health,Paris,France,Europe,2013,815000000,"BPI France, Kerala Ventures, Accel"
110,110,110,111,FiveTran,6000000000.0,30-06-2020,Data management & analytics,Oakland,United States,North America,2012,728000000,"Matrix Partners, Andreessen Horowitz, General Catalyst"
111,111,111,112,Postman,6000000000.0,11-06-2020,Internet software & services,San Francisco,United States,North America,2014,433000000,"Nexus Venture Partners, CRV, Insight Partners"
112,112,112,113,Back Market,6000000000.0,18-05-2021,E-commerce & direct-to-consumer,Paris,France,Europe,2014,1000000000,"Aglae Ventures, Eurazeo, Daphni"
113,113,113,114,Cityblock Health,6000000000.0,10-12-2020,Health,Brooklyn,United States,North America,2017,891000000,"Thrive Capital, Maverick Ventures, Redpoint Ventures"
114,114,114,115,DataRobot,6000000000.0,29-07-2019,Artificial intelligence,Boston,United States,North America,2012,1000000000,"New Enterprise Associates, Accomplice, IA Ventures"
115,115,115,116,Personio,6000000000.0,19-01-2021,Internet software & services,Munich,Germany,Europe,2015,524000000,"Global Founders Capital, Nortzone Ventures, Picus Capital"
116,116,116,117,RELEX Solutions,6000000000.0,17-02-2022,"Supply chain, logistics, & delivery",Helsinki,Finland,Europe,2005,803000000,"Blackstone, Technology Crossover Ventures, Summit Partners"
117,117,117,118,Vice Media,6000000000.0,02-04-2011,Internet software & services,Brooklyn,United States,North America,1994,1000000000,"Technology Crossover Ventures, A&E Television Networks"
118,118,118,119,Workato,6000000000.0,12-01-2021,Internet software & services,Mountain View,United States,North America,2013,415000000,"Battery Ventures, Storm Ventures, Redpoint Ventures"
119,119,119,120,Upgrade,6000000000.0,12-02-2018,Fintech,San Francisco,United States,North America,2016,587000000,"Union Square Ventures, Ribbit Capital, VY Capital"
120,120,120,121,Lianjia,6000000000.0,07-04-2016,E-commerce & direct-to-consumer,Beijing,China,Asia,2001,1000000000,"Tencent, Baidu, Huasheng Capital"
121,121,121,122,Hinge Health,6000000000.0,06-01-2021,Health,San Francisco,United States,North America,2015,826000000,"Atomico, Insight Partners, Coatue Management"
122,122,122,123,Lyra Health,6000000000.0,25-08-2020,Health,Burlingame,United States,North America,2015,910000000,"Greylock Partners, Venrock, Providence Ventures"
123,123,123,124,Benchling,6000000000.0,14-04-2021,Internet software & services,San Francisco,United States,North America,2012,412000000,"Thrive Capital, Benchmark, MenloVentures"
124,124,124,125,Better.com,6000000000.0,10-11-2020,Fintech,New York,United States,North America,2018,405000000,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers"
125,125,125,126,iCapital Network,6000000000.0,27-07-2021,Fintech,New York,United States,North America,2013,729000000,"BlackRock, Blackstone, UBS"
126,126,126,127,Wiz,6000000000.0,17-03-2021,Cybersecurity,Tel Aviv,Israel,Asia,2020,600000000,"Insight Partners, Sequoia Capital, Index Ventures"
127,127,127,128,DailyHunt,5000000000.0,22-12-2020,Internet software & services,Bengaluru,India,Asia,2007,869000000,"Falcon Edge Capital, Omidyar Network, Sequoia Capital India"
128,128,128,129,Howden Group Holdings,5000000000.0,29-09-2020,Other,London,United Kingdom,Europe,1994,187000000,"General Atlantic, 3i Group, Huagai Capital"
129,129,129,130,Meesho,5000000000.0,05-04-2021,Internet software & services,Bengaluru,India,Asia,2015,1000000000,"Venture Highway, Sequoia Capital India, Prosus Ventures"
130,130,130,131,Meizu Technology,5000000000.0,23-07-2014,Hardware,Zhuhai,China,Asia,2003,943000000,"Telling Telecommunication Holding Co., Alibaba Group"
131,131,131,132,CloudWalk Technology,5000000000.0,08-10-2018,Artificial intelligence,Guangzhou,China,Asia,2015,514000000,"Oriza Holdings, Guangdong Technology Financial Group"
132,132,132,133,Royole Corporation,5000000000.0,18-08-2015,Hardware,Shenzhen,China,Asia,2012,492000000,"Warmsun Holding, IDG Capital Partners"
133,133,133,134,Monzo,5000000000.0,31-10-2018,Fintech,London,United Kingdom,Europe,2015,1000000000,"Passion Capital, Thrive Capital, Orange Digital Ventures"
134,134,134,135,Socure,5000000000.0,16-03-2021,Cybersecurity,New York,United States,North America,2012,644000000,"Two Sigma Ventures, Flint Capital, Commerce Ventures"
135,135,135,136,VIPKid,5000000000.0,04-08-2016,Edtech,Beijing,China,Asia,2013,1000000000,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures"
136,136,136,137,Vinted,5000000000.0,27-11-2019,E-commerce & direct-to-consumer,Vilnius,Lithuania,Europe,2008,562000000,"Accel, Insight Partners, Burda Principal Investments"
137,137,137,138,Lendable,5000000000.0,31-03-2021,Fintech,London,United Kingdom,Europe,2014,286000000,"Ontario Teachers' Pension Plan, Goldman Sachs"
138,138,138,139,UBTECH Robotics,5000000000.0,25-07-2016,Hardware,Shenzhen,China,Asia,2012,943000000,"CDH Investments, Goldstone Investments, Qiming Venture Partners"
139,139,139,140,Anduril,5000000000.0,11-09-2019,Artificial intelligence,Irvine,United States,North America,2017,691000000,"Andreessen Horowitz, Founders Fund, Revolution Ventures"
140,140,140,141,Checkr,5000000000.0,19-09-2019,Internet software & services,San Francisco,United States,North America,2014,559000000,"Y Combinator, Accel, T. Rowe Price"
141,141,141,142,Color,5000000000.0,04-01-2021,Health,Burlingame,United States,North America,2013,497000000,"General Catalyst, Viking Global Investors, T. Rowe Price"
142,142,142,143,Dataiku,5000000000.0,04-12-2019,Internet software & services,New York,United States,North America,2013,647000000,"Alven Capital, FirstMark Capital, capitalG"
143,143,143,144,BetterUp,5000000000.0,25-02-2021,Internet software & services,San Francisco,United States,North America,2013,567000000,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital"
144,144,144,145,Pleo,5000000000.0,06-07-2021,Fintech,Copenhagen,Denmark,Europe,2015,428000000,"Creandum, Founders, Kinnevik"
145,145,145,146,Trade Republic,5000000000.0,20-05-2021,Fintech,Berlin,Germany,Europe,2015,996000000,"Founders Fund, Accel, Creandum"
146,146,146,147,Chipone,5000000000.0,16-12-2021,Hardware,Beijing,China,Asia,2008,1000000000,"China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment"
147,147,147,148,Collibra,5000000000.0,29-01-2019,Data management & analytics,Brussels,Belgium,Europe,2008,596000000,"Index Ventures, Battery Ventures, ICONIQ Capital"
148,148,148,149,Rappi,5000000000.0,31-08-2018,"Supply chain, logistics, & delivery",Bogota,Colombia,South America,2015,2000000000,"DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures"
149,149,149,150,6Sense,5000000000.0,30-03-2021,Artificial intelligence,San Francisco,United States,North America,2013,426000000,"Venrock, Battery Ventures, Insight Partners"
150,150,150,151,Cerebral,5000000000.0,10-06-2021,Health,San Francisco,United States,North America,2020,462000000,"Oak HC/FT Partners, Artis Ventures, WestCap Group"
151,151,151,152,Creditas,5000000000.0,18-12-2020,Fintech,Sao Paulo,Brazil,South America,2012,824000000,"Kaszek Ventures, Amadeus Capital Partners, Quona Capital"
152,152,152,153,OneTrust,5000000000.0,11-07-2019,Internet software & services,Atlanta,United States,North America,2016,926000000,Insight Partners
153,153,153,154,QuintoAndar,5000000000.0,09-09-2019,E-commerce & direct-to-consumer,Campinas,Brazil,South America,2012,755000000,"Kaszek Ventures, General Atlantic, SoftBank Group"
154,154,154,155,C6 Bank,5000000000.0,02-12-2020,Fintech,Sao Paulo,Brazil,South America,2018,2000000000,Credit Suisse
155,155,155,156,Cockroach Labs,5000000000.0,12-01-2021,Data management & analytics,New York,United States,North America,2015,633000000,"Google Ventures, Benchmark, FirstMark Capital"
156,156,156,157,Hopper,5000000000.0,24-03-2021,Travel,Montreal,Canada,North America,2007,599000000,"Capital One Growth Ventures, Citi Ventures, OMERS Ventures"
157,157,157,158,Icertis,5000000000.0,17-07-2019,Artificial intelligence,Bellevue,United States,North America,2009,371000000,"Eight Roads Ventures, Greycroft, Ignition Partners"
158,158,158,159,Moon Active,5000000000.0,26-01-2020,Mobile & telecommunications,Tel Aviv,Israel,Asia,2011,425000000,"Insight Partners, Andalusian Capital Partners"
159,159,159,160,OfBusiness,5000000000.0,31-07-2021,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,734000000,"Matrix Partners India, Falcon Edge Capital, SoftBank Group"
160,160,160,161,Ola Electric Mobility,5000000000.0,02-07-2019,Auto & transportation,Bengaluru,India,Asia,2019,761000000,"SoftBank Group, Tiger Global Management, Matrix Partners India"
161,161,161,162,Pine Labs,5000000000.0,24-01-2020,Fintech,Noida,India,Asia,1998,903000000,"Sequoia Capital India, Temasek, PayPal Ventures"
162,162,162,163,Qonto,5000000000.0,11-01-2022,Fintech,Paris,France,Europe,2016,704000000,"Alven Capital, Valar Ventures, Tencent Holdings"
163,163,163,164,SambaNova Systems,5000000000.0,13-04-2021,Data management & analytics,Palo Alto,United States,North America,2017,1000000000,"Walden International, Google Ventures, Intel Capital"
164,164,164,165,United Imaging Healthcare,5000000000.0,15-09-2017,Health,Shanghai,China,Asia,2011,503000000,"China Life Insurance, China Development Bank Capital, CITIC Securities International"
165,165,165,166,WM Motor,5000000000.0,08-03-2019,Auto & transportation,Shanghai,China,Asia,2015,4000000000,"Baidu Capital, Linear Venture, Tencent"
166,166,166,167,ZEPZ,5000000000.0,23-08-2021,Fintech,London,United Kingdom,Europe,2010,655000000,"Accel, Technology Crossover Ventures, LeapFrog Investments"
167,167,167,168,Abogen,4000000000.0,29-11-2021,Health,Suzhou,China,Asia,2019,1000000000,"Hillhouse Capital Management, SoftBank Group, Qiming Venture Partners"
168,168,168,169,Greensill,4000000000.0,16-07-2018,Fintech,London,United Kingdom,Europe,2011,2000000000,"SoftBank Group, General Atlantic"
169,169,169,171,Radiology Partners,4000000000.0,26-02-2018,Health,El Segundo,United States,North America,2012,1000000000,"New Enterprise Associates, Starr Investment Holdings"
